sym,date,period_start_price,period_end_price,20_period_return,ema_3,sma_3,wma_3
AAPL,2022-05-16,145.54,135.43,-0.06946543905455535,146.20418414766425,145.07,145.5666666666667
AAPL,2022-05-11,146.5,137.13,-0.06395904436860071,150.69347318131412,151.02333333333334,150.09666666666666
AAPL,2022-05-10,154.51,142.64,-0.07682350656915414,154.88694636262824,154.61666666666667,154.155
AAPL,2022-05-09,152.06,147.96,-0.02696304090490592,155.26389272525645,155.37,154.585
AAPL,2022-05-04,166.02,145.38,-0.12432237079869904,162.54114180205158,161.15333333333334,162.49666666666667
AAPL,2022-05-03,159.48,151.21,-0.05185603210433899,159.06228360410313,158.36333333333334,158.66833333333332
AAPL,2022-05-02,157.96,148.71,-0.05855912889339073,158.6445672082063,159.75,158.8033333333333
AAPL,2022-04-27,156.57,149.64,-0.04426135274956893,158.37653766565043,158.75,157.69833333333335
AAPL,2022-04-26,156.8,143.78,-0.08303571428571435,160.18307533130087,160.49,159.65833333333333
AAPL,2022-04-25,162.88,140.52,-0.13727897838899794,163.56615066260173,163.69666666666663,163.10666666666665
AAPL,2022-04-20,167.23,137.59,-0.17724092567123118,167.00920530081393,166.56666666666666,166.92666666666665
AAPL,2022-04-19,167.4,137.35,-0.179510155316607,166.78841060162787,165.92,166.27166666666668
AAPL,2022-04-18,165.07,140.82,-0.14690737262979342,166.17682120325574,166.92,166.03166666666667
AAPL,2022-04-13,170.4,147.11,-0.13667840375586848,169.27728481302302,167.93666666666667,168.71166666666667
AAPL,2022-04-12,167.66,142.56,-0.14970774185852317,168.15456962604603,167.83333333333334,167.42833333333334
AAPL,2022-04-11,165.75,146.5,-0.11613876319758673,168.64913925209206,169.32666666666668,168.26166666666666
AAPL,2022-04-06,171.83,157.28,-0.08467671535820294,173.8731140167364,175.10999999999999,174.00833333333333
AAPL,2022-04-05,175.06,156.77,-0.10447846452644803,175.91622803347275,175.93666666666664,176.0616666666667
AAPL,2022-04-04,178.44,166.02,-0.06960322797579012,176.77245606694547,175.78666666666666,176.42499999999998
AAPL,2022-03-30,177.77,157.65,-0.11317995162288352,177.18964853556372,177.44333333333336,177.80499999999998
AAPL,2022-03-29,178.96,163.64,-0.08560572194903901,176.60929707112746,176.42666666666665,177.13333333333333
AAPL,2022-03-28,175.6,156.57,-0.10837129840546698,174.25859414225488,174.79666666666665,175.05166666666665
AAPL,2022-03-23,170.21,161.79,-0.049468303859937814,168.15875313803895,168.13666666666666,168.94166666666666
AAPL,2022-03-22,168.82,166.42,-0.014216325079966863,166.1075062760779,166.05999999999997,166.86666666666667
AAPL,2022-03-21,165.38,167.23,0.011186358689079662,163.39501255215583,163.32666666666668,164.12
AAPL,2022-03-15,155.09,165.29,0.0657682635888838,154.53020083449334,153.48000000000002,153.54
AAPL,2022-03-14,150.62,170.4,0.13132386137299165,153.97040166898668,154.62333333333333,153.30666666666667
AAPL,2022-03-09,162.95,170.09,0.04381712181650822,161.30321335189345,159.89666666666668,160.505
AAPL,2022-03-08,157.44,172.14,0.09336890243902432,159.6564267037869,159.97,159.015
AAPL,2022-03-07,159.3,171.83,0.07865662272441934,161.8728534075738,162.9,161.745
AAPL,2022-03-02,166.56,174.31,0.0465297790585975,165.21282726059061,164.96,165.20000000000002
AAPL,2022-03-01,163.2,174.61,0.06991421568627466,163.86565452118123,164.39,164.115
AAPL,2022-02-28,165.12,177.77,0.07661094961240314,164.5313090423625,164.23666666666668,164.63333333333333
AAPL,2022-02-23,160.07,174.72,0.09152245892422069,163.33047233889985,163.89666666666668,162.69166666666666
AAPL,2022-02-22,164.32,174.07,0.05933544303797469,166.5909446777997,166.83333333333334,166.07333333333335
AAPL,2022-02-16,172.55,163.98,-0.04966676325702707,171.96755742239768,171.40666666666667,172.01833333333335
AAPL,2022-02-15,172.79,160.62,-0.07043231668499328,171.38511484479534,170.10333333333332,170.795
AAPL,2022-02-14,168.88,159.59,-0.05500947418285168,169.9802296895907,169.88,169.34
AAPL,2022-02-09,176.28,154.73,-0.12224869525754488,174.92183751672553,174.25666666666666,175.02666666666667
AAPL,2022-02-08,174.83,158.52,-0.09329062517874508,173.56367503345103,172.96,173.36666666666667
AAPL,2022-02-07,171.66,162.95,-0.05073983455668186,172.29735006690208,172.31666666666663,172.10999999999999
AAPL,2022-02-02,175.84,163.17,-0.07205414012738863,174.05880053521662,175.07666666666668,175.25333333333333
AAPL,2022-02-01,174.61,166.23,-0.047992669377469925,172.2776010704332,173.24,173.95333333333335
AAPL,2022-01-31,174.78,166.56,-0.04703055269481633,169.9452021408664,168.11,170.70333333333335
AAPL,2022-01-26,159.69,164.85,0.03231260567349237,160.56161712693114,160.36333333333334,160.04166666666666
AAPL,2022-01-25,159.78,162.74,0.01852547252472154,161.43323425386228,161.26999999999998,160.83166666666668
AAPL,2022-01-24,161.62,160.07,-0.009590397228065903,163.08646850772453,162.84666666666666,162.365
AAPL,2022-01-19,166.23,167.3,0.0064368645852133895,168.88174806179634,169.7,168.56
AAPL,2022-01-18,169.8,168.88,-0.005418138987043674,171.5334961235927,171.68666666666664,171.28833333333333
AAPL,2022-01-12,175.53,168.64,-0.039252549421751354,174.7379689887416,174.26666666666665,174.82333333333335
AAPL,2022-01-11,175.08,172.12,-0.01690655700251318,173.94593797748325,173.14666666666665,173.63166666666666
AAPL,2022-01-10,172.19,176.28,0.023752831174864996,172.81187595496647,172.12,172.15166666666664
AAPL,2022-01-05,174.92,172.39,-0.014463754859364289,177.3950076397319,178.87666666666667,177.69500000000002
